spp,act,pass,float,obsn,obst1,n3,seq
45548,45191,39981,0,1,339982,20,$=?>$$BUB}^BQC$=?>$B
45547,43730,39981,0,1,339978,23,$=?>$DBUBO$=?$$N?>$$AA
45546,43115,45515,0,1,339967,0,RIXUVUYGRHJLRWWRE$BLUBOS^ZB>C$=?>$BUBO^ZB>C$=?>$$BLUBOM%}OYFHOB
45545,44322,37843,0,1,339965,0,UUYGRHJLRWXSE$BLUBO^>C$?>$$BLUBO}^BX>C$=?>$$BLUBO}VOYHOB
45544,45247,45513,0,1,339941,0,BHJLRWWSE$OYHOBHJLRWWSE$BLUBO^>C$=?>$$BLUBO}^BX>C$?>$$BLUBO}OYHOO^>C$=?>$$BLUBO}^BX>C$?>$$BLUBO}OYHO
45542,39981,39981,0,1,339929,62,$=?>$$BUBO^B>C$=?>$BLUB%}}Y^OB
45541,44452,44452,0,1,339928,50,HHLUEUWIYJRIXVUUYGHJLWWRE$BLUBO^B>C$=?>$CBLUB%}OYH
45540,45243,45243,0,1,339926,0,UUYGRHJLRWWSE$BLUBO^>C$=?>$$BLUBO}^BX>C$?>$$BLUBO}OYHOO^>C$=?>$$BLUBO}^BX>C$?>$$BLUBO}OYHO>$$BLUBO}OYHO
45539,42847,31489,0,1,339924,8,LUEUWJYJD
45539,42847,45539,0,1,339924,8,LUEUWJYJD
45538,44452,44452,0,1,339921,50,HHLUEUWIYJRIXVUUYGHJLWWRECBLUBO^B>C$=?>$$BLUB%}OYH
45537,45452,43115,0,1,339918,1,EWLHHHRLUEUWJYJRIXUVUYGRHJLRWWRE$BLUBO^B>C=?>$$BBLUBOM%}OYHOBR
45536,8625,3747,0,1,339916,1998,$=?>$$BUBO^B>C$=N?>$PPPPPPPPPPPPPPPPPPPPQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQCQ
45535,45421,14189,0,1,339896,0,$=?>$$BUBO$=?>$$B?>$$BLUB
45533,12476,12476,0,1,339893,64,$=?>$$BUBO^B>C$=N?>$$UBLUBO%}Y^OB
45532,45005,45127,0,1,339891,0,$CLUBO%}BLUBO^GB>C$=?>$$CLUBO
45531,40378,44781,0,1,339886,0,UUYGRHJLRWWRE$BLUBO^>C$=?>$$BLUBO}^BX>C$=?>$$BLUBO}OYHOBUEUWIYJRIXVUUYGRHJLWWRE$BLUBO^B>C$=?>$$BLUBO%}OYHOB
45530,34444,34444,0,1,339881,62,EWLHHHRLUEUWJYJRIXUVUYGRHJLRWWRE$BLUBO^B>C$=?>$$BBLUBOM%}OYHPB
